celebrity,hometown,x,y
Andy Dodd,Los Angeles,34.05,-118.25
Andy The Kid,California,35.4586,-119.355
Angel City Outcasts,California,35.4586,-119.355
Angel Deradoorian,California,35.4586,-119.355
Angel Ibarra,California,35.4586,-119.355
Angel Taylor,California,35.4586,-119.355
Angelina,Union City,37.5964,-122.048
Angels & Airwaves,San Diego,32.715,-117.162
Angry Samoans,California,35.4586,-119.355
Animal Liberation Orchestra,Saratoga,37.2724,-122.02
Animosity,California,35.4586,-119.355
Anita Pointer,Oakland,37.8044,-122.273
Ankla,California,35.4586,-119.355
Anna Nalick,Glendora,34.1308,-117.865
Anna Skrypka,Los Angeles,34.05,-118.25
Anna Turner,California,35.4586,-119.355
Anna-Lynne Williams,California,35.4586,-119.355
Anneliese van der Pol,Bellflower,33.8881,-118.128
Annie Le,Placerville,38.7297,-120.799
Anotha Level,California,35.4586,-119.355
Another Single Day,California,35.4586,-119.355
Antagonist,California,35.4586,-119.355
Antagony,California,35.4586,-119.355
"Anthony ""Sir Jinx"" Wheaton",California,35.4586,-119.355
Anton Barbeau,Sacramento,38.5556,-121.469
Anton Newcombe,Newport Beach,33.6167,-117.897
Antwon,San Jose,37.3333,-121.9
Anything Box,California,35.4586,-119.355
Anywhere,California,35.4586,-119.355
Apex Manor,California,35.4586,-119.355
Aphasia,California,35.4586,-119.355
Apl.de.ap,Los Angeles,34.05,-118.25
Apollo,California,35.4586,-119.355
April Elizabeth Ross,Newport Beach,33.6167,-117.897
April Ross,Newport Beach,33.6167,-117.897
Aqualillies,California,35.4586,-119.355
Arcade,California,35.4586,-119.355
Arch/Matheos,Los Angeles,34.05,-118.25
Armani Depaul,Richmond,37.9358,-122.348
Armik,California,35.4586,-119.355
Armistead Burwell Smith IV,California,35.4586,-119.355
Armored Saint,California,35.4586,-119.355
Armors,California,35.4586,-119.355
Army Navy,California,35.4586,-119.355
Army of Anyone,California,35.4586,-119.355
Army of Freshmen,Ventura,34.275,-119.228
ArnoCorps,San Francisco Bay Area,37.75,-122.283
Arsonists Get All the Girls,Santa Cruz,36.9719,-122.026
Art Bell,Pahrump,36.2086,-116.012
Art n' Soul,Oakland,37.8044,-122.273
Art of Chaos,Los Angeles,34.05,-118.25
Arthur Davis,California,35.4586,-119.355
Arthur Lee,California,35.4586,-119.355
Artur Akopyan,Los Angeles,34.05,-118.25
As I Lay Dying,San Diego,32.715,-117.162
As Yet Unbroken,Nevada,39.0,-117.0
Asbestosdeath,California,35.4586,-119.355
Asesino,California,35.4586,-119.355
Ashley Dzerigian,California,35.4586,-119.355
Ashley Slater,Hanford,36.3275,-119.646
Asia Featuring John Payne,Los Angeles,34.05,-118.25
Aspects of Physics,California,35.4586,-119.355
Asphalt Ballet,California,35.4586,-119.355
Assassin,California,35.4586,-119.355
Assemble Head in Sunburst Sound,California,35.4586,-119.355
Assjack,Gridley,39.3639,-121.694
Assorted Jelly Beans,Riverside,33.9481,-117.396
Astra,California,35.4586,-119.355
Astrovamps,California,35.4586,-119.355
Asunder,Oakland,37.8044,-122.273
Atoms for Peace,Los Angeles,34.05,-118.25
Atreyu,Orange County,33.67,-117.78
Attaxe,California,35.4586,-119.355
Attitude Adjustment,Walnut Creek,37.9064,-122.065
Aubrey O'Day,California,35.4586,-119.355
Audacity,Fullerton,33.88,-117.929
Audio Karate,Rosemead,34.0667,-118.083
Audio Push,California,35.4586,-119.355
Audioslave,Glendale,34.1461,-118.255
Audiovent,Calabasas,34.1383,-118.661
Audra Lowe,California,35.4586,-119.355
Audrey Napoleon,California,35.4586,-119.355
Audrye Sessions,Oakland,37.8044,-122.273
Augustana,California,35.4586,-119.355
Aundrea  Fimbres,Upland,34.1,-117.65
Aundrea Fimbres,Upland,34.1,-117.65
Austin Feinstein,California,35.4586,-119.355
Austrian Death Machine,San Diego,32.715,-117.162
Author & Punisher,San Diego,32.715,-117.162
Autograph,Pasadena,34.1561,-118.132
Autolux,California,35.4586,-119.355
Automatic Man,California,35.4586,-119.355
Autopsy,Concord,37.9781,-122.031
Avenged Sevenfold,Huntington Beach,33.6928,-118.0
Avengers,California,35.4586,-119.355
Avi Buffalo,California,35.4586,-119.355
Awolnation,California,35.4586,-119.355
Axis of Justice,Los Angeles,34.05,-118.25
Aztlan Underground,California,35.4586,-119.355
B-Legit,Vallejo,38.1131,-122.236
B-Real,South Gate,33.9442,-118.195
B-Tight,Palm Springs,33.8303,-116.545
B.Slade,California,35.4586,-119.355
BC Jean,California,35.4586,-119.355
BL'AST!,Santa Cruz,36.9719,-122.026
Baba Rampuri,Beverly Hills,34.0731,-118.399
Babel Fishh,Hollister,36.8339,-121.402
Baby Bash,Vallejo,38.1131,-122.236
Babylon A.D.,California,35.4586,-119.355
Bachelors of Science,California,35.4586,-119.355
Backhouse Mike,Malibu,34.03,-118.779
Bad Azz,California,35.4586,-119.355
Bad Credit,California,35.4586,-119.355
Bad English,California,35.4586,-119.355
Bad Radio,California,35.4586,-119.355
Bad Religion,California,35.4586,-119.355
Bad Suns,California,35.4586,-119.355
Badlands,California,35.4586,-119.355
Bags,Los Angeles,34.05,-118.25
Band AKA,California,35.4586,-119.355
Bang Tango,California,35.4586,-119.355
Bar 7,California,35.4586,-119.355
Barbara Rush,Santa Barbara,34.4258,-119.714
Barbra Fontana,Manhattan Beach,33.8889,-118.405
Barren Cross,California,35.4586,-119.355
Barry Carl,California,35.4586,-119.355
Bassnectar,Santa Cruz,36.9719,-122.026
Bastard Noise,California,35.4586,-119.355
Baths,California,35.4586,-119.355
Battalion of Saints,San Diego,32.715,-117.162
Battle Tapes,California,35.4586,-119.355
Battlecat,California,35.4586,-119.355
Beachwood Sparks,California,35.4586,-119.355
Beat Junkies,Orange County,33.67,-117.78
Beatbeat Whisper,California,35.4586,-119.355
Beats Antique,Oakland,37.8044,-122.273
Beau Burchell,Orange County,33.67,-117.78
Beautiful Creatures,California,35.4586,-119.355
Becky Stark,California,35.4586,-119.355
Bedroom Walls,California,35.4586,-119.355
Beefy Red,California,35.4586,-119.355
Before Dark,California,35.4586,-119.355
Before the Mourning,California,35.4586,-119.355
Being as an Ocean,Alpine,32.8344,-116.766
Bellavista,California,35.4586,-119.355
Bellydance Superstars,California,35.4586,-119.355
Bellylove,Los Angeles,34.05,-118.25
Ben Behrouzi,Danville,37.8217,-122.0
Ben Bledsoe,California,35.4586,-119.355
Ben McKee,Forestville,38.4817,-122.896
Ben Yu,Nevada,39.0,-117.0
Benedictum,California,35.4586,-119.355
Bennett Friedman,Berkeley,37.8717,-122.275
Bennett Friedman (age 67,Berkeley,37.8717,-122.275
Benny Cassette,Los Angeles,34.05,-118.25
Benton Falls,California,35.4586,-119.355
Benümb,California,35.4586,-119.355
Berlin,California,35.4586,-119.355
Best Coast,California,35.4586,-119.355
Beta Play,California,35.4586,-119.355
Bethel Music,California,35.4586,-119.355
Better Luck Next Time,California,35.4586,-119.355
Betty White,Beverly Hills,34.0731,-118.399
Beulah,California,35.4586,-119.355
Beverly Shaw,San Francisco,37.7833,-122.417
Beware of Darkness,California,35.4586,-119.355
Beware of Safety,California,35.4586,-119.355
BgA,Los Angeles,34.05,-118.25
Bibiana Candelas,California,35.4586,-119.355
Bibiana Candelas Ramírez,California,35.4586,-119.355
Big Bad Voodoo Daddy,Ventura,34.275,-119.228
Big Black Delta,California,35.4586,-119.355
Big Brother and the Holding Company,California,35.4586,-119.355
Big City Orchestra,Los Angeles,34.05,-118.25
Big Daddy,California,35.4586,-119.355
Big Drill Car,Costa Mesa,33.665,-117.912
Big Fase 100,California,35.4586,-119.355
Big House,Bakersfield,35.3667,-119.017
Big Japan,California,35.4586,-119.355
Big Mama Thornton,Oakland,37.8044,-122.273
Big Talk,Nevada,39.0,-117.0
Big Time Rush,California,35.4586,-119.355
Bigelf,Los Angeles,34.05,-118.25
Bikeride,California,35.4586,-119.355
Bill Goodwin,California,35.4586,-119.355
Bill Lee,California,35.4586,-119.355
Bill Lowrey,California,35.4586,-119.355
Bill Vitt,San Francisco Bay Area,37.75,-122.283
Billie Joe Armstrong,Rodeo,38.0331,-122.267
Billy Higgins,California,35.4586,-119.355
Billy Hill and the Hillbillies,California,35.4586,-119.355
Birdmonster,California,35.4586,-119.355
Bitch,Los Angeles,34.05,-118.25
Bitter:Sweet,California,35.4586,-119.355
Blaak Heat,Los Angeles,34.05,-118.25
Black Camaro,Nevada,39.0,-117.0
Black Country Communion,California,35.4586,-119.355
Black Diamond Band,Bakersfield,35.3667,-119.017
Black Flag,Hermosa Beach,33.8664,-118.4
Black Hippy,South Los Angeles,33.9275,-118.277
Black Infinity,California,35.4586,-119.355
Black Lab,Berkeley,37.8717,-122.275
Black Label Society,California,35.4586,-119.355
Black Light Burns,California,35.4586,-119.355
Black Pearl,California,35.4586,-119.355
Black Pine,California,35.4586,-119.355
Black Randy and the Metrosquad,California,35.4586,-119.355
Black Rebel Motorcycle Club,San Francisco,37.7833,-122.417
Black Snake Moan,California,35.4586,-119.355
BlackBlack,California,35.4586,-119.355
Blackalicious,Sacramento,38.5556,-121.469
Blackburn & Snow,Berkeley,37.8717,-122.275
Blackburner,California,35.4586,-119.355
Blackhouse,Eureka,40.79,-124.164
Blake Schwarzenbach,Berkeley,37.8717,-122.275
Blake Sennett,California,35.4586,-119.355
Blame Sally,San Francisco,37.7833,-122.417
Blaqk Audio,Oakland,37.8044,-122.273
Blatz,Berkeley,37.8717,-122.275
Bleached,California,35.4586,-119.355
Blectum from Blechdom,California,35.4586,-119.355
Bleed The Sky,Orange County,33.67,-117.78
Bleed the Dream,California,35.4586,-119.355
Bleeding Through,Orange County,33.67,-117.78
Blind Illusion,California,35.4586,-119.355
Blind Melon,Los Angeles,34.05,-118.25
Blink-182,Poway,32.97,-117.039
Blinky,California,35.4586,-119.355
Blood of Abraham,Santa Monica,34.0219,-118.481
Blood on the Saddle,California,35.4586,-119.355
Bloods & Crips,Los Angeles County,34.05,-118.25
Bloodshed,Southern California,34.0,-117.0
Blu,California,35.4586,-119.355
Blue Cheer,California,35.4586,-119.355
Bluesberry Jam,California,35.4586,-119.355
Bob & Earl,California,35.4586,-119.355
Bob Carlisle,Santa Ana,33.7408,-117.881
Bob James,California,35.4586,-119.355
Bob Kakaha,California,35.4586,-119.355
Bobbie Cryner,Woodland,38.6786,-121.773
Bobby Brackins,California,35.4586,-119.355
Bobby Freeman,California,35.4586,-119.355
Bobby Joe Ebola and the Children MacNuggits,California,35.4586,-119.355
Bobby and the Midnites,California,35.4586,-119.355
Body Count,California,35.4586,-119.355
Bojana Todorovic,Irvine,33.6694,-117.823
Bojana Todorović,Irvine,33.6694,-117.823
Bomarr,California,35.4586,-119.355
Bomb Zombies,California,35.4586,-119.355
Boneless Children Foundation,California,35.4586,-119.355
Bones,California,35.4586,-119.355
Bonnie Pointer,Oakland,37.8044,-122.273
Boo-Yaa T.R.I.B.E.,Carson,33.8397,-118.26
Boogie,Long Beach,33.7683,-118.196
Boots Riley,Oakland,37.8044,-122.273
Boris Smile,California,35.4586,-119.355
Bosse-de-Nage,California,35.4586,-119.355
Botanist,San Francisco,37.7833,-122.417
Box Car Racer,California,35.4586,-119.355
Boy Hits Car,Los Angeles,34.05,-118.25
Bracket,California,35.4586,-119.355
"Brad ""Daddy X"" Xavier",California,35.4586,-119.355
Brad Logan,Los Angeles,34.05,-118.25
Brain Drill,California,35.4586,-119.355
Braindead Soundmachine,California,35.4586,-119.355
Brainoil,Oakland,37.8044,-122.273
Brand New War,Los Angeles,34.05,-118.25
Brandan Schieppati,California,35.4586,-119.355
BrandenBeatBoy,California,35.4586,-119.355
Brandon & Leah,Malibu,34.03,-118.779
Brandon Allen Bolmer,Murrieta,33.5694,-117.202
Brandon Bolmer,Murrieta,33.5694,-117.202
Brandon Saller,Orange County,33.67,-117.78
Brandy,California,35.4586,-119.355
Brandy Moss-Scott,California,35.4586,-119.355
Brandy Norwood,California,35.4586,-119.355
Brant Bjork,Palm Springs,33.8303,-116.545
Bray,California,35.4586,-119.355
Brazzaville,California,35.4586,-119.355
Bread,California,35.4586,-119.355
Breakestra,Los Angeles,34.05,-118.25
Breakfast with Amy,La Habra,33.9319,-117.946
Breeze,Los Angeles,34.05,-118.25
Brenda Holloway,Watts,33.9417,-118.242
Brenden Shucart,California,35.4586,-119.355
Brent Mydland,Antioch,38.005,-121.806
Brenton Brown,Malibu,34.03,-118.779
Brett Dennen,Oakdale,37.7692,-120.857
Brett Epstein,Los Angeles,34.05,-118.25
Brett Gurewitz,Southern California,34.0,-117.0
Brian Austin Green,North Hollywood,34.1739,-118.379
Brian Grazer,California,35.4586,-119.355
Brian Ireland,Dana Point,33.4672,-117.698
Brian LeBarton,California,35.4586,-119.355
Brian Lebarton,California,35.4586,-119.355
Brian Ray,California,35.4586,-119.355
Brian Virtue,Southern California,34.0,-117.0
Brian Walton,Duarte,34.1403,-117.962
Brian Wilson,Hawthorne,33.9172,-118.349
Brides of Destruction,California,35.4586,-119.355
Brighten,Chico,39.74,-121.85
Brittany Brooks,Pittsburg,38.0281,-121.885
Broken Bells,Los Angeles,34.05,-118.25
Brooke Sweat,California,35.4586,-119.355
Brooke Valentine,California,35.4586,-119.355
Brooke Youngquist,California,35.4586,-119.355
Brooke Youngquist Sweat,California,35.4586,-119.355
Brotha Lynch Hun,Sacramento,38.5556,-121.469
Brotha Lynch Hung,Sacramento,38.5556,-121.469
Brother Reade,California,35.4586,-119.355
Brownside,California,35.4586,-119.355
Brownstone,California,35.4586,-119.355
Bruce Appleyard,Berkeley,37.8717,-122.275
Bruce Conte,Sanger,36.7081,-119.556
Bruce E. Lisker,Sherman Oaks,34.1511,-118.448
Bruce Johnston,Los Angeles,34.05,-118.25
Bruce Lee Band,California,35.4586,-119.355
Bruce Lisker,Sherman Oaks,34.1511,-118.448
Brujeria,California,35.4586,-119.355
Brutha,California,35.4586,-119.355
Bryan & Katie Torwalt,Sacramento,38.5556,-121.469
Bryan Allen,Tulare,36.2067,-119.342
Bryan L. Allen,Tulare,36.2067,-119.342
Bryce Vine,California,35.4586,-119.355
Bryn Davies,California,35.4586,-119.355
Brynn Gersmehl,California,35.4586,-119.355
Buck-O-Nine,California,35.4586,-119.355
Buckcherry,Anaheim,33.8361,-117.89
Bucky Jonson,California,35.4586,-119.355
Bud'da,California,35.4586,-119.355
Buddy,California,35.4586,-119.355
Buffalo Springfield,Los Angeles,34.05,-118.25
Built Like Alaska,Oakdale,37.7692,-120.857
Bulimia Banquet,California,35.4586,-119.355
BulletBoys,California,35.4586,-119.355
Burning Image,Bakersfield,35.3667,-119.017
Burning Rain,California,35.4586,-119.355
Burning Sensations,California,35.4586,-119.355
Busbee,San Francisco Bay,37.7083,-122.28
Butch Cassidy,Long Beach,33.7683,-118.196
Butch Engle & the Styx,Mill Valley,37.9061,-122.545
Butcher Babies,California,35.4586,-119.355
Butt Trumpet,California,35.4586,-119.355
Butterglory,Visalia,36.3167,-119.3
Butterscotch,Davis,38.5539,-121.738
CAKE,Sacramento,38.5556,-121.469
CHARLOTTE,California,35.4586,-119.355
CHON,California,35.4586,-119.355
CJ Mac,California,35.4586,-119.355
CPO,California,35.4586,-119.355
Cacophony,California,35.4586,-119.355
Cactus Choir,San Francisco,37.7833,-122.417
Cage,California,35.4586,-119.355
Cairo,California,35.4586,-119.355
Caitlin Glass,Escondido,33.1247,-117.081
Cal Tjader,San Mateo,37.5542,-122.313
Calcutta,Camarillo,34.2333,-119.033
Caleigh Peters,California,35.4586,-119.355
Cali Agents,Fresno,36.7478,-119.772
Cali Swag District,Inglewood,33.9575,-118.346
Calico Sunset,Bakersfield,35.3667,-119.017
California Breed,California,35.4586,-119.355
California Redemption,California,35.4586,-119.355
Caliwood Hollyfornia,California,35.4586,-119.355
Callow,San Francisco,37.7833,-122.417
Calyssa Davidson,California,35.4586,-119.355
Cam,Lafayette,37.8858,-122.118
Cam Smith (Hotel Books,Porterville,36.0686,-119.027
Cambalache,East Los Angeles,34.0333,-118.167
Camera Shy,Oakland,37.8044,-122.273
Camilla Wicks,Long Beach,33.7683,-118.196
Camille Davila,California,35.4586,-119.355
Camille Dávila,California,35.4586,-119.355
Camper Van Beethoven,Redlands,34.0547,-117.183
Can Kim Hua,California,35.4586,-119.355
Candy,Los Angeles,34.05,-118.25
Canned Heat,California,35.4586,-119.355
Cannibal and the Headhunters,East Los Angeles,34.0333,-118.167
Capital Cities,California,35.4586,-119.355
Capra,California,35.4586,-119.355
Captain & Tennille,California,35.4586,-119.355
Captured! by Robots,California,35.4586,-119.355
Carah Faye Charnow,California,35.4586,-119.355
Career Soldiers,Southern California,34.0,-117.0
Carissa Phelps,Coalinga,36.1397,-120.36
Carl Brandt,Sacramento,38.5556,-121.469
Carla Werner,California,35.4586,-119.355
Carli Lloyd,Bonsall,33.2797,-117.194
Carlos Gabriel Niño,Santa Monica,34.0219,-118.481
Carmaig de Forest,California,35.4586,-119.355
Carmen,California,35.4586,-119.355
Carnage,California,35.4586,-119.355
Carnifex,California,35.4586,-119.355
Carnival Art,Los Angeles,34.05,-118.25
Caroliner,San Francisco,37.7833,-122.417
Carrie Lucas,California,35.4586,-119.355
Cary Brothers,California,35.4586,-119.355
Casey Beathard,Torrance,33.8347,-118.341
Casey Jennings,Redondo Beach,33.8581,-118.379
Casey Patterson,Huntington Beach,33.6928,-118.0
Casey Thomas Jennings,Redondo Beach,33.8581,-118.379
Casey Veggies,Inglewood,33.9575,-118.346
Casket Salesmen,Corona,33.8667,-117.567
Cassidy Haley,Los Angeles,34.05,-118.25
Castaneda,California,35.4586,-119.355
Castanets,California,35.4586,-119.355
Casual,Oakland,37.8044,-122.273
Cat Mother and the All Night Newsboys,Mendocino,39.3078,-123.799
Catherine,California,35.4586,-119.355
Catholic Discipline,Los Angeles,34.05,-118.25
Cathy Podewell,Walnut Creek,37.9064,-122.065
Cattle Decapitation,California,35.4586,-119.355
Cause & Effect,Sacramento,38.5556,-121.469
Cayucas,California,35.4586,-119.355
Celer,California,35.4586,-119.355
Celestaphone,Riverside,33.9481,-117.396
Celly Cel,Vallejo,38.1131,-122.236
Celtic Spring,California,35.4586,-119.355
Cephalotripsy,California,35.4586,-119.355
Ceremony,California,35.4586,-119.355
Cesium_137,Los Angeles,34.05,-118.25
Chad Blinman,Southern California,34.0,-117.0
Chad Brown,Los Angeles,34.05,-118.25
Chad Channing,Santa Rosa,38.4486,-122.705
Chad Smith's Bombastic Meatbats,California,35.4586,-119.355
Chain of Strength,California,35.4586,-119.355
Chalk FarM,California,35.4586,-119.355
Chandra Levy,Modesto,37.6614,-120.994
Channel 3,Cerritos,33.8683,-118.067
Chanté Moore,California,35.4586,-119.355
Charity,California,35.4586,-119.355
Charizma,Milpitas,37.4347,-121.895
Charles Frederick Kiraly,San Clemente,33.4378,-117.62
Charles Mingus,Los Angeles,34.05,-118.25
Charles Mingus Jr.,Los Angeles,34.05,-118.25
Charles Wright & the Watts 103rd Street Rhythm Band,California,35.4586,-119.355
Charlie Gillingham,Torrance,33.8347,-118.341
Charlie Peacock,Yuba City,39.1347,-121.626
Charlotte Caffey,Santa Monica,34.0219,-118.481
Charlotte Drury,Laguna Niguel,33.5319,-117.702
Charlotte Frances Drury,Laguna Niguel,33.5319,-117.702
Charming Hostess,California,35.4586,-119.355
Chase Long Beach,California,35.4586,-119.355
Chaz Bono,California,35.4586,-119.355
Chemical People,California,35.4586,-119.355
Chemy Soibelman,California,35.4586,-119.355
Chicano Batman,Los Angeles,34.05,-118.25
Chikezie Okorie,Reno,39.5272,-119.822
Chilly Chill,California,35.4586,-119.355
China White,Huntington Beach,33.6928,-118.0
Chop Chop,California,35.4586,-119.355
Chosen Effect,California,35.4586,-119.355
Chris Ayer,Stanford,37.4225,-122.165
Chris Cohen,California,35.4586,-119.355
Chris Gaffney,California,35.4586,-119.355
Chris Hakius,San Jose,37.3333,-121.9
Chris Karagulleyan,California,35.4586,-119.355
Chris Murphy,California,35.4586,-119.355
Chris Paxton,Union City,37.5964,-122.048
Chris Pitman,California,35.4586,-119.355
Chris Robinson Brotherhood,California,35.4586,-119.355
Chris Schlarb,California,35.4586,-119.355
Chris Shiflett,California,35.4586,-119.355
Chris Walden Big Band,Los Angeles,34.05,-118.25
Christ on Parade,San Francisco,37.7833,-122.417
Christ's Sake,Huntington Beach,33.6928,-118.0
Christa Collins,Los Angeles,34.05,-118.25
Christian Death,California,35.4586,-119.355
Christian Lee Hutson,California,35.4586,-119.355
Christie Brinkley,California,35.4586,-119.355
Christine Beatty,California,35.4586,-119.355
Christopher Tyng,Long Beach,33.7683,-118.196
Chrome,California,35.4586,-119.355
Chrome Cats,Vallejo,38.1131,-122.236
Chuck Dukowski,California,35.4586,-119.355
Chuck Higgins,California,35.4586,-119.355
Chuckii Booker,California,35.4586,-119.355
Chuuwee,Sacramento,38.5556,-121.469
Cimorelli,Sacramento,38.5556,-121.469
Cindy Alexander,California,35.4586,-119.355
Cindy Herron,Oakland,37.8044,-122.273
Cinema,Los Angeles,34.05,-118.25
Circa,California,35.4586,-119.355
Circle Jerks,Hermosa Beach,33.8664,-118.4
Circus,California,35.4586,-119.355
Circus Diablo,California,35.4586,-119.355
Circus Tents,California,35.4586,-119.355
Cirith Ungol,Ventura,34.275,-119.228
Cirrus,Los Angeles,34.05,-118.25
Citay,California,35.4586,-119.355
Citizens Here and Abroad,California,35.4586,-119.355
City (Comma) State,California,35.4586,-119.355
Civet,Long Beach,33.7683,-118.196
Claire D'Amore,Rolling Hills Estates,33.7736,-118.361
Claire Robertson,Rolling Hills Estates,33.7736,-118.361
Claire Robertson D'Amore,Rolling Hills Estates,33.7736,-118.361
Claire Voyant,California,35.4586,-119.355
Clare Brunson,Riverside,33.9481,-117.396
Classics of Love,Emeryville,37.8314,-122.285
Classixx,Los Angeles,34.05,-118.25
Claude Bessy,California,35.4586,-119.355
Claude Coats,California,35.4586,-119.355
Claw Hammer,Long Beach,33.7683,-118.196
Clayton-Hamilton Jazz Orchestra,California,35.4586,-119.355
Claytoven Richardson,Berkeley,37.8717,-122.275
Clear Static,California,35.4586,-119.355
Cleto and the Cletones,California,35.4586,-119.355
Climax,California,35.4586,-119.355
Clit 45,Long Beach,33.7683,-118.196
Clover,Mill Valley,37.9061,-122.545
Club Nouveau,California,35.4586,-119.355
Clyde Carson,California,35.4586,-119.355
Coachwhips,California,35.4586,-119.355
Coal Chamber,Los Angeles,34.05,-118.25
